T X Y S0 S1 S2 S3 
0 6593.798 8017.265 3 8 20 40 
1 6593.798 8017.265 3 8 20 40 
2 6600.879 8022.914 3 8 20 40 
3 6667.168 8075.865 3 8 20 40 
4 6708.862 8109.179 3 8 20 40 
5 6714.306 8113.527 3 8 20 40 
6 6775.316 8162.264 3 8 20 40 
7 6816.537 8195.177 3 8 20 40 
8 6845.924 8220.118 3 8 20 40 
9 6858.369 8230.648 3 8 20 40 
10 6868.512 8238.855 3 8 20 40 
11 6889.962 8256.223 3 8 20 40 
12 6911.605 8273.503 3 8 20 40 
13 6935.007 8292.184 3 8 20 40 
14 6942.472 8298.144 3 8 20 40 
15 6973.681 8322.651 3 8 20 40 
16 7011.435 8352.296 3 8 20 40 
17 7021.587 8360.524 3 8 20 40 
18 7035.937 8374.424 3 8 20 40 
19 7035.937 8374.424 3 8 20 40 
