T X Y S0 S1 S2 S3 
0 11766.17 5407.654 3 8 20 40 
1 11766.17 5407.654 3 8 20 40 
2 11766.17 5407.654 3 8 20 40 
3 11766.17 5407.654 3 8 20 40 
4 11766.17 5407.654 3 8 20 40 
5 11766.17 5407.654 3 8 20 40 
6 11766.17 5407.654 3 8 20 40 
7 11668.623 5516.047 3 8 20 40 
8 11496.559 5706.968 3 8 20 40 
9 11484.713 5720.645 3 8 20 40 
10 11404.888 5808.856 3 8 20 40 
11 11399.694 5814.605 3 8 20 40 
12 11371.706 5845.406 3 8 20 40 
13 11345.482 5873.561 3 8 20 40 
14 11339.596 5879.877 3 8 20 40 
15 11280.723 5945.982 3 8 20 40 
16 11271.792 5956.123 3 8 20 40 
17 11224.658 6010.086 3 8 20 40 
18 11044.111 6206.456 3 8 20 40 
19 11044.111 6206.456 3 8 20 40 
