T X Y S0 S1 S2 S3 
0 4048.982 5917.549 3 8 20 40 
1 4048.982 5917.549 3 8 20 40 
2 4111.928 5978.406 3 8 20 40 
3 4199.441 6063.015 3 8 20 40 
4 4287.169 6153.194 3 8 20 40 
5 4320.543 6187.497 3 8 20 40 
6 4334.009 6201.341 3 8 20 40 
7 4370.272 6237.713 3 8 20 40 
8 4443.972 6311.646 3 8 20 40 
9 4580.284 6447.527 3 8 20 40 
10 4617.754 6484.777 3 8 20 40 
11 4656.361 6523.584 3 8 20 40 
12 4678.948 6545.489 3 8 20 40 
13 4722.609 6583.918 3 8 20 40 
14 4814.431 6647.344 3 8 20 40 
15 4839.088 6663.912 3 8 20 40 
16 4880.372 6691.322 3 8 20 40 
17 4887.744 6696.214 3 8 20 40 
18 4890.388 6697.971 3 8 20 40 
19 4890.388 6697.971 3 8 20 40 
