T X Y S0 
0 4048.982 5917.549 6 
1 4048.982 5917.549 6 
2 4048.982 5917.549 6 
3 4048.982 5917.549 6 
4 4048.982 5917.549 6 
5 4048.982 5917.549 6 
6 4048.982 5917.549 6 
7 4111.928 5978.406 6 
8 4199.441 6063.015 6 
9 4287.169 6153.194 6 
10 4320.543 6187.497 6 
11 4334.009 6201.341 6 
12 4370.272 6237.713 6 
13 4443.972 6311.646 6 
14 4580.284 6447.527 6 
15 4617.754 6484.777 6 
16 4656.361 6523.584 6 
17 4678.948 6545.489 6 
18 4722.609 6583.918 6 
19 4814.431 6647.344 6 
20 4839.088 6663.912 6 
21 4880.372 6691.322 6 
22 4887.744 6696.214 6 
23 4890.388 6697.971 6 
24 4890.388 6697.971 6 
