T X Y S0 
0 9657.375 7703.351 6 
1 9657.375 7703.351 6 
2 9670.254 7692.232 6 
3 9689.413 7672.895 6 
4 9721.494 7636.779 6 
5 9726.791 7631.097 6 
6 9732.185 7624.658 6 
7 9792.814 7555.139 6 
8 9833.51 7508.437 6 
9 9844.209 7496.428 6 
10 9896.744 7437.829 6 
11 9933.317 7396.242 6 
12 9960.506 7365.997 6 
13 10012.254 7306.73 6 
14 10032.339 7284.491 6 
15 10103.996 7204.875 6 
16 10166.272 7133.043 6 
17 10275.643 7015.177 6 
18 10385.001 6896.443 6 
19 10421.209 6857.135 6 
20 10426.875 6850.986 6 
21 10429.656 6847.973 6 
22 10437.357 6839.611 6 
23 10442.129 6834.429 6 
24 10442.129 6834.429 6 
