T X Y S0 S1 S2 S3 
2 8639.696 3084.547 4 16 21 54 
3 8632.269 3147.261 4 8 24 46 
4 8630.145 3167.054 5 18 27 45 
5 8610.438 3323.06 4 15 21 51 
6 8608.848 3335.737 4 12 24 41 
7 8605.31 3366.315 3 18 21 58 
8 8601.592 3393.558 5 14 27 50 
9 8599.941 3405.645 3 13 23 45 
10 8591.752 3509.423 4 14 23 47 
11 8586.302 3584.079 3 15 25 46 
12 8579.127 3682.331 5 8 24 52 
13 8576.365 3726.364 4 8 27 45 
14 8575.433 3754.541 5 18 26 49 
15 8573.107 3824.661 3 16 29 57 
16 8572.371 3857.797 3 19 24 46 
17 8572.536 3867.471 3 18 29 45 
18 8572.345 3882.593 5 17 23 42 
19 8572.345 3882.593 5 16 27 50 
