T X Y S0 S1 S2 S3 
4 8639.696 3084.547 4 10 22 46 
5 8632.269 3147.261 5 14 20 57 
6 8630.145 3167.054 4 10 21 57 
7 8610.438 3323.06 4 12 21 48 
8 8608.848 3335.737 3 11 21 57 
9 8605.31 3366.315 3 15 29 44 
10 8601.592 3393.558 5 11 21 45 
11 8599.941 3405.645 5 12 27 52 
12 8591.752 3509.423 4 8 21 50 
13 8586.302 3584.079 4 14 27 40 
14 8579.127 3682.331 4 12 27 46 
15 8576.365 3726.364 5 13 23 59 
16 8575.433 3754.541 3 15 25 40 
17 8573.107 3824.661 5 17 27 41 
18 8572.371 3857.797 3 8 21 41 
19 8572.371 3857.797 3 14 21 48 
