T X Y S0 S1 S2 S3 
0 8655.955 6011.309 5 8 24 43 
1 8655.955 6011.309 5 13 20 47 
2 8655.955 6011.309 3 18 21 58 
3 8655.955 6011.309 3 13 26 46 
4 8655.955 6011.309 4 10 25 46 
5 8655.955 6011.309 3 15 25 52 
6 8655.955 6011.309 5 10 22 48 
7 8655.955 6011.309 3 14 27 53 
8 8655.955 6011.309 4 17 22 46 
9 8655.955 6011.309 4 16 23 51 
10 8655.955 6011.309 3 16 28 42 
11 8655.955 6011.309 5 11 20 42 
12 8655.955 6011.309 5 8 28 40 
13 8655.955 6011.309 3 11 28 47 
14 8655.955 6011.309 5 17 22 44 
15 8655.955 6011.309 5 12 27 43 
16 8655.955 6011.309 5 13 24 55 
17 8655.955 6011.309 3 17 25 46 
18 8655.955 6011.309 4 19 23 40 
19 8655.955 6011.309 5 9 28 40 
