T X Y S0 S1 S2 S3 
0 7821.845 10093.942 5 8 25 44 
1 7821.845 10093.942 5 14 24 49 
2 7821.845 10093.942 5 16 26 40 
3 7821.845 10093.942 3 15 28 54 
4 7821.845 10093.942 5 11 25 42 
5 7821.845 10093.942 5 14 20 46 
6 7821.845 10093.942 3 17 25 47 
7 7821.845 10093.942 4 19 23 57 
8 7821.845 10093.942 3 9 25 45 
9 7821.845 10093.942 5 12 21 59 
10 7821.845 10093.942 4 10 27 43 
11 7821.845 10093.942 3 18 29 42 
12 7821.845 10093.942 4 9 25 50 
13 7821.845 10093.942 5 18 29 42 
14 7821.845 10093.942 4 15 26 49 
15 7821.845 10093.942 3 15 20 59 
16 7821.845 10093.942 5 18 21 57 
17 7821.845 10093.942 4 13 24 43 
18 7821.845 10093.942 5 13 22 50 
19 7821.845 10093.942 4 13 24 47 
