T X Y S0 S1 S2 S3 
0 4019.479 5916.26 5 17 21 53 
1 4019.479 5916.26 5 18 22 58 
2 4019.479 5916.26 3 8 28 57 
3 4019.479 5916.26 4 9 22 54 
4 4019.479 5916.26 4 15 27 58 
5 4019.479 5916.26 5 9 20 49 
6 4019.479 5916.26 3 11 20 44 
7 4019.479 5916.26 4 12 22 53 
8 4019.479 5916.26 5 14 25 52 
9 4019.479 5916.26 5 16 21 58 
10 4019.479 5916.26 3 11 20 44 
11 4019.479 5916.26 3 12 20 59 
12 4019.479 5916.26 4 16 25 47 
13 4019.479 5916.26 3 16 20 48 
14 4019.479 5916.26 4 12 20 53 
15 4019.479 5916.26 4 17 25 40 
16 4019.479 5916.26 4 16 23 51 
17 4019.479 5916.26 5 18 29 48 
18 4019.479 5916.26 3 17 25 52 
19 4019.479 5916.26 3 9 24 55 
