T X Y S0 S1 S2 S3 
2 8565.136 4380.802 5 14 26 57 
3 8564.522 4448.331 4 18 20 52 
4 8564.106 4494.299 3 18 29 41 
5 8562.49 4672.411 4 9 24 53 
6 8563.16 4701.766 5 14 28 43 
7 8562.497 4749.802 3 10 21 55 
8 8562.507 4823.414 3 9 20 56 
9 8564.31 4858.551 5 16 28 40 
10 8565.873 4871.895 3 8 22 44 
11 8567.614 4882.569 3 10 20 54 
12 8584.789 4962.741 5 11 29 59 
13 8593.51 5000.547 3 13 28 44 
14 8603.273 5047.471 3 11 29 45 
15 8612.624 5111.275 4 17 27 48 
16 8622.757 5180.46 4 8 21 58 
17 8631.967 5253.182 4 10 24 48 
18 8638.983 5328.572 3 11 20 47 
19 8638.983 5328.572 5 17 22 45 
