T X Y S0 S1 S2 S3 
0 8022.733 10858.741 5 16 26 57 
1 8022.733 10858.741 5 11 23 47 
2 8022.733 10858.741 5 9 29 51 
3 8022.733 10858.741 4 18 25 53 
4 8022.733 10858.741 5 17 20 52 
5 8022.733 10858.741 5 15 21 56 
6 8022.733 10858.741 5 17 27 48 
7 8022.733 10858.741 4 8 23 44 
8 8022.733 10858.741 5 12 20 40 
9 8022.733 10858.741 5 17 29 40 
10 8022.733 10858.741 3 14 20 41 
11 8022.733 10858.741 3 9 26 53 
12 8022.733 10858.741 3 12 28 53 
13 8022.733 10858.741 5 17 27 54 
14 8022.733 10858.741 3 17 23 56 
15 8022.733 10858.741 5 12 23 53 
16 8022.733 10858.741 4 19 27 44 
17 8022.733 10858.741 5 16 24 56 
18 8022.733 10858.741 5 17 24 54 
19 8022.733 10858.741 3 14 25 48 
