T X Y S0 S1 S2 S3 
0 7329.869 9245.291 3 12 25 41 
1 7329.869 9245.291 5 14 26 46 
2 7329.869 9245.291 4 15 23 44 
3 7329.869 9245.291 3 15 26 56 
4 7329.869 9245.291 5 14 29 56 
5 7329.869 9245.291 3 15 24 45 
6 7329.869 9245.291 5 8 25 48 
7 7329.869 9245.291 3 13 20 46 
8 7329.869 9245.291 5 10 28 51 
9 7329.869 9245.291 4 10 21 43 
10 7329.869 9245.291 4 19 29 44 
11 7329.869 9245.291 3 15 26 42 
12 7329.869 9245.291 3 11 28 47 
13 7329.869 9245.291 5 16 24 45 
14 7329.869 9245.291 5 12 23 46 
15 7329.869 9245.291 3 10 24 51 
16 7329.869 9245.291 5 18 26 50 
17 7329.869 9245.291 4 9 29 50 
18 7329.869 9245.291 4 13 21 44 
19 7329.869 9245.291 3 9 26 57 
