T X Y S0 S1 S2 S3 
3 4111.928 5978.406 5 13 24 45 
4 4199.441 6063.015 3 16 24 48 
5 4287.169 6153.194 4 9 23 56 
6 4320.543 6187.497 3 18 28 47 
7 4334.009 6201.341 5 10 22 40 
8 4370.272 6237.713 5 12 26 46 
9 4443.972 6311.646 4 12 26 47 
10 4580.284 6447.527 3 9 24 59 
11 4617.754 6484.777 4 8 24 42 
12 4656.361 6523.584 4 14 20 54 
13 4678.948 6545.489 3 9 24 40 
14 4722.609 6583.918 4 10 29 53 
15 4814.431 6647.344 5 18 25 57 
16 4839.088 6663.912 3 17 25 53 
17 4880.372 6691.322 5 12 24 47 
18 4887.744 6696.214 4 12 27 50 
19 4887.744 6696.214 4 12 24 45 
