T X Y S0 S1 S2 S3 
5 8368.898 8985.707 5 9 29 57 
6 8369.855 8983.105 5 11 26 53 
7 8371.735 8978.034 4 17 24 55 
8 8373.745 8973.564 4 13 23 52 
9 8377.406 8963.623 4 14 28 40 
10 8381.611 8953.949 3 19 20 52 
11 8385.726 8946.277 5 13 26 41 
12 8386.796 8944.531 3 13 29 44 
13 8393.682 8933.323 5 10 23 45 
14 8399.347 8925.572 3 9 26 43 
15 8403.774 8920.324 5 8 20 44 
16 8407.657 8916.81 4 18 20 49 
17 8424.559 8898.374 3 16 28 40 
18 8469.095 8849.793 4 16 29 58 
19 8469.095 8849.793 4 19 28 45 
