T X Y S0 S1 S2 S3 
0 10041.887 8490.622 3 16 23 45 
1 10041.887 8490.622 5 18 28 54 
2 10041.887 8490.622 5 9 24 47 
3 10041.887 8490.622 5 11 24 41 
4 10041.887 8490.622 3 18 23 41 
5 10041.887 8490.622 5 12 23 51 
6 10041.887 8490.622 3 12 24 57 
7 10041.887 8490.622 4 18 27 44 
8 10041.887 8490.622 5 8 21 57 
9 10041.887 8490.622 3 10 20 41 
10 10041.887 8490.622 5 19 28 58 
11 10041.887 8490.622 3 18 28 58 
12 10041.887 8490.622 3 17 27 53 
13 10041.887 8490.622 4 10 25 57 
14 10041.887 8490.622 5 19 27 55 
15 10041.887 8490.622 4 19 20 53 
16 10041.887 8490.622 3 17 28 53 
17 10041.887 8490.622 3 16 24 58 
18 10041.887 8490.622 3 8 29 52 
19 10041.887 8490.622 3 18 22 46 
