T X Y S0 S1 S2 S3 
0 7881.356 9398.64 4 13 28 43 
1 7881.356 9398.64 5 13 20 53 
2 7881.356 9398.64 5 13 29 59 
3 7881.356 9398.64 3 8 29 47 
4 7881.356 9398.64 5 10 23 52 
5 7881.356 9398.64 4 10 21 41 
6 7881.356 9398.64 5 11 21 40 
7 7881.356 9398.64 5 12 24 58 
8 7881.356 9398.64 3 17 23 53 
9 7881.356 9398.64 5 17 26 43 
10 7881.356 9398.64 5 17 28 50 
11 7881.356 9398.64 5 9 23 40 
12 7881.356 9398.64 5 15 22 41 
13 7881.356 9398.64 4 14 22 40 
14 7881.356 9398.64 3 11 26 41 
15 7881.356 9398.64 4 10 28 45 
16 7881.356 9398.64 4 18 29 42 
17 7881.356 9398.64 3 9 28 47 
18 7881.356 9398.64 5 19 28 51 
19 7881.356 9398.64 5 15 24 56 
