T X Y S0 S1 S2 S3 
0 4625.932 12468.865 3 9 20 48 
1 4625.932 12468.865 4 10 26 43 
2 4625.932 12468.865 3 17 20 45 
3 4625.932 12468.865 3 9 29 54 
4 4625.932 12468.865 4 10 25 57 
5 4625.932 12468.865 4 12 21 48 
6 4625.932 12468.865 3 18 23 40 
7 4625.932 12468.865 4 12 25 48 
8 4625.932 12468.865 5 9 23 55 
9 4625.932 12468.865 4 13 23 57 
10 4625.932 12468.865 4 11 22 50 
11 4625.932 12468.865 5 16 25 53 
12 4625.932 12468.865 4 15 26 59 
13 4625.932 12468.865 5 13 23 58 
14 4625.932 12468.865 4 15 20 41 
15 4625.932 12468.865 5 14 26 46 
16 4625.932 12468.865 3 13 28 48 
17 4625.932 12468.865 4 11 29 41 
18 4625.932 12468.865 4 19 26 45 
19 4625.932 12468.865 5 10 20 53 
