T X Y S0 S1 S2 S3 
0 8652.241 8641.158 4 8 23 46 
1 8652.241 8641.158 4 18 20 47 
2 8652.241 8641.158 4 13 29 56 
3 8652.241 8641.158 3 15 29 48 
4 8652.241 8641.158 4 19 20 52 
5 8652.241 8641.158 3 8 20 45 
6 8652.241 8641.158 4 9 20 58 
7 8652.241 8641.158 3 17 27 43 
8 8652.241 8641.158 4 18 24 56 
9 8652.241 8641.158 5 8 22 40 
10 8652.241 8641.158 3 18 26 48 
11 8652.241 8641.158 4 11 27 51 
12 8652.241 8641.158 3 15 22 53 
13 8652.241 8641.158 4 19 20 46 
14 8652.241 8641.158 5 14 25 44 
15 8652.241 8641.158 5 16 21 43 
16 8652.241 8641.158 5 8 21 50 
17 8652.241 8641.158 5 13 25 51 
18 8652.241 8641.158 5 9 25 57 
19 8652.241 8641.158 4 15 24 57 
