T X Y S0 S1 S2 S3 
0 8431.1 9558.583 5 14 20 44 
1 8431.1 9558.583 5 10 22 58 
2 8431.1 9558.583 5 18 25 45 
3 8431.1 9558.583 5 12 22 57 
4 8431.1 9558.583 5 11 25 43 
5 8431.1 9558.583 3 14 21 57 
6 8431.1 9558.583 3 12 29 52 
7 8431.1 9558.583 4 18 21 41 
8 8431.1 9558.583 5 9 26 53 
9 8431.1 9558.583 4 15 28 43 
10 8431.1 9558.583 3 18 27 59 
11 8431.1 9558.583 3 15 21 52 
12 8431.1 9558.583 4 19 21 56 
13 8431.1 9558.583 5 15 27 46 
14 8431.1 9558.583 5 15 22 54 
15 8431.1 9558.583 5 14 23 49 
16 8431.1 9558.583 5 11 26 42 
17 8431.1 9558.583 5 19 22 57 
18 8431.1 9558.583 5 17 29 42 
19 8431.1 9558.583 3 13 20 48 
