T X Y S0 S1 S2 S3 
4 8862.373 7890.381 3 14 25 58 
5 8861.609 7891.949 5 10 24 44 
6 8822.168 7992.102 5 15 29 47 
7 8818.385 8000.664 3 9 27 54 
8 8815.758 8008.036 4 17 22 53 
9 8803.29 8045.731 3 17 24 59 
10 8775.325 8144.539 4 10 23 44 
11 8773.048 8152.034 5 19 24 49 
12 8768.477 8167.879 4 16 27 51 
13 8757.77 8204.951 3 12 27 54 
14 8747.978 8238.866 3 12 20 58 
15 8734.142 8286.791 5 16 29 45 
16 8732.788 8291.472 5 16 28 57 
17 8731.61 8295.786 4 12 22 50 
18 8719.697 8339.453 3 16 27 45 
19 8719.697 8339.453 4 10 25 48 
