T X Y S0 S1 S2 S3 
0 8625.166 3044.339 5 13 29 46 
1 8625.166 3044.339 4 10 29 54 
2 8625.166 3044.339 3 14 26 45 
3 8625.166 3044.339 3 11 29 48 
4 8625.166 3044.339 3 14 26 55 
5 8625.166 3044.339 4 14 27 55 
6 8625.166 3044.339 3 13 29 55 
7 8625.166 3044.339 4 14 21 45 
8 8625.166 3044.339 4 18 28 58 
9 8625.166 3044.339 3 10 29 45 
10 8625.166 3044.339 5 11 26 41 
11 8625.166 3044.339 5 13 29 42 
12 8625.166 3044.339 5 17 28 59 
13 8625.166 3044.339 5 11 22 41 
14 8625.166 3044.339 4 8 21 59 
15 8625.166 3044.339 5 14 24 54 
16 8625.166 3044.339 5 12 26 59 
17 8625.166 3044.339 5 13 21 40 
18 8625.166 3044.339 5 12 22 51 
19 8625.166 3044.339 4 9 28 40 
