T X Y S0 S1 S2 S3 
2 8450.911 8323.029 3 16 21 40 
3 8469.087 8301.813 5 10 21 46 
4 8513.506 8251.286 5 14 22 42 
5 8516.785 8247.55 4 14 24 42 
6 8521.853 8241.846 4 10 24 40 
7 8548.341 8212.079 4 10 22 43 
8 8552.997 8206.853 4 8 28 41 
9 8556.486 8202.994 5 11 20 57 
10 8586.148 8170.192 3 8 23 56 
11 8590.699 8165.155 3 19 21 57 
12 8595.153 8160.184 3 13 23 54 
13 8614.127 8139.002 3 10 29 44 
14 8633.215 8117.686 5 11 22 53 
15 8659.432 8088.419 3 18 26 46 
16 8663.211 8084.205 3 18 28 42 
17 8675.066 8070.884 5 13 28 45 
18 8677.854 8067.748 3 9 28 59 
19 8677.854 8067.748 3 19 28 57 
