T X Y S0 S1 S2 S3 
4 5600.372 7259.405 3 8 29 53 
5 5566.338 7230.561 4 18 29 42 
6 5539.99 7207.21 5 12 27 47 
7 5496.52 7169.037 4 10 28 44 
8 5483.267 7157.395 3 19 25 41 
9 5471.721 7147.143 3 10 26 46 
10 5411.373 7093.558 3 13 27 53 
11 5400.107 7083.562 3 18 25 54 
12 5392.036 7075.956 3 8 28 58 
13 5349.853 7036.17 3 9 29 47 
14 5339.971 7026.852 3 15 27 45 
15 5320.536 7012.174 5 11 21 59 
16 5308.051 7003.257 3 17 24 49 
17 5291.732 6991.603 3 9 24 53 
18 5278.766 6981.974 3 13 28 57 
19 5278.766 6981.974 3 17 23 57 
