T X Y S0 S1 S2 S3 
0 10437.357 6839.611 4 16 21 54 
1 10437.357 6839.611 3 8 29 59 
2 10437.357 6839.611 3 11 29 51 
3 10437.357 6839.611 5 16 20 55 
4 10437.357 6839.611 4 9 21 48 
5 10437.357 6839.611 3 8 25 47 
6 10437.357 6839.611 5 18 26 57 
7 10437.357 6839.611 4 14 28 48 
8 10437.357 6839.611 3 10 21 55 
9 10437.357 6839.611 3 12 29 43 
10 10437.357 6839.611 5 11 26 54 
11 10437.357 6839.611 3 12 22 59 
12 10437.357 6839.611 5 9 24 45 
13 10437.357 6839.611 3 13 26 40 
14 10437.357 6839.611 3 14 29 51 
15 10437.357 6839.611 5 8 24 45 
16 10437.357 6839.611 5 9 20 40 
17 10437.357 6839.611 5 15 22 50 
18 10437.357 6839.611 4 11 29 43 
19 10437.357 6839.611 4 14 24 43 
