T X Y S0 S1 S2 S3 
0 9852.551 10814.685 5 11 25 44 
1 9852.551 10814.685 3 13 26 54 
2 9852.551 10814.685 3 11 24 52 
3 9852.551 10814.685 3 12 22 40 
4 9852.551 10814.685 5 13 22 56 
5 9852.551 10814.685 4 8 25 54 
6 9852.551 10814.685 5 8 28 55 
7 9852.551 10814.685 4 8 23 41 
8 9852.551 10814.685 5 9 24 47 
9 9852.551 10814.685 3 16 25 45 
10 9852.551 10814.685 4 10 28 58 
11 9852.551 10814.685 4 17 21 58 
12 9852.551 10814.685 3 11 20 59 
13 9852.551 10814.685 5 18 26 58 
14 9852.551 10814.685 5 15 29 40 
15 9852.551 10814.685 4 13 26 41 
16 9852.551 10814.685 4 8 20 56 
17 9852.551 10814.685 3 14 24 40 
18 9852.551 10814.685 5 10 29 40 
19 9852.551 10814.685 5 17 29 56 
