T X Y S0 S1 S2 S3 
4 6600.879 8022.914 4 10 25 49 
5 6667.168 8075.865 4 11 25 42 
6 6708.862 8109.179 5 16 28 47 
7 6714.306 8113.527 5 16 29 56 
8 6775.316 8162.264 5 10 25 42 
9 6816.537 8195.177 5 18 22 46 
10 6845.924 8220.118 5 18 22 49 
11 6858.369 8230.648 5 12 28 46 
12 6868.512 8238.855 5 19 26 43 
13 6889.962 8256.223 3 9 28 58 
14 6911.605 8273.503 4 11 21 42 
15 6935.007 8292.184 5 11 21 50 
16 6942.472 8298.144 4 14 25 40 
17 6973.681 8322.651 4 9 20 41 
18 7011.435 8352.296 3 8 24 48 
19 7011.435 8352.296 4 19 20 48 
