T X Y S0 S1 S2 S3 
1 8565.136 4380.802 5 11 26 53 
2 8564.522 4448.331 3 15 28 47 
3 8564.106 4494.299 3 17 20 53 
4 8562.49 4672.411 4 17 27 43 
5 8563.16 4701.766 3 17 23 54 
6 8562.497 4749.802 4 14 21 40 
7 8562.507 4823.414 4 12 23 45 
8 8564.31 4858.551 3 8 28 59 
9 8565.873 4871.895 5 12 22 52 
10 8567.614 4882.569 5 16 28 45 
11 8584.789 4962.741 3 8 21 57 
12 8593.51 5000.547 3 16 29 56 
13 8603.273 5047.471 3 11 25 55 
14 8612.624 5111.275 3 18 22 51 
15 8622.757 5180.46 4 8 25 47 
16 8631.967 5253.182 4 15 22 54 
17 8638.983 5328.572 5 8 20 49 
18 8642.521 5379.499 4 19 22 52 
19 8642.521 5379.499 5 10 29 43 
