T X Y S0 S1 S2 S3 
0 8499.938 11849.654 3 17 23 54 
1 8499.938 11849.654 5 17 22 43 
2 8499.938 11849.654 5 14 25 43 
3 8499.938 11849.654 4 14 29 48 
4 8499.938 11849.654 3 12 23 48 
5 8499.938 11849.654 4 17 27 44 
6 8499.938 11849.654 5 13 26 44 
7 8499.938 11849.654 4 10 23 50 
8 8499.938 11849.654 5 19 24 52 
9 8499.938 11849.654 4 18 28 57 
10 8499.938 11849.654 5 14 21 49 
11 8499.938 11849.654 4 19 27 42 
12 8499.938 11849.654 3 9 27 57 
13 8499.938 11849.654 3 16 24 49 
14 8499.938 11849.654 4 8 28 53 
15 8499.938 11849.654 3 19 27 58 
16 8499.938 11849.654 4 12 20 59 
17 8499.938 11849.654 5 11 28 43 
18 8499.938 11849.654 3 15 25 53 
19 8499.938 11849.654 3 14 24 48 
